#REF!;;#REF!;;;
Numéro d'Indentification;Genre;Village;Latitude du Village;Longitude du Village;
T50;Homme;Téra;14,00776;0,75306;
T51;Homme;Téra;14,00776;0,75306;
T53;Homme;Téra;14,00776;0,75306;
T222;Homme;Téra;14,00776;0,75306;
T55;Homme;Téra;14,00776;0,75306;
T57;Homme;Téra;14,00776;0,75306;
T58;Homme;Téra;14,00776;0,75306;
T59;Homme;Téra;14,00776;0,75306;
T60;Homme;Téra;14,00776;0,75306;
T61;Homme;Téra;14,00776;0,75306;
T62;Homme;Kokorou;13,95;0,94;
T63;Homme;Kokorou;13,95;0,94;
T64;Homme;Kokorou;13,95;0,94;
T65;Homme;Kokorou;13,95;0,94;
T66;Homme;Kokorou;13,95;0,94;
T67;Homme;Kokorou;13,95;0,94;
T68;Homme;Kokorou;13,95;0,94;
T69;Femme;Kokorou;13,95;0,94;
T70;Femme;Kokorou;13,95;0,94;
T71;Homme;Kokorou;13,95;0,94;
T72;Homme;Kokorou;13,95;0,94;
T73;Homme;Kokorou;13,95;0,94;
T74;Homme;Kokorou;13,95;0,94;
T75;Femme;Kokorou;13,95;0,94;
T76;Homme;Kokorou;13,95;0,94;
T77;Homme;Téra;14,00776;0,75306;
T78;Homme;Téra;14,00776;0,75306;
T79;Homme;Téra;14,00776;0,75306;
T80;Homme;Téra;14,00776;0,75306;
T81;Homme;Téra;14,00776;0,75306;
T82;Homme;Téra;14,00776;0,75306;
T83;Homme;Téra;14,00776;0,75306;
T84;Homme;Kokorou;13,95;0,94;
T85;Homme;Kokorou;13,95;0,94;
T86;Homme;Kokorou;13,95;0,94;
T2383;Homme;LOWA ;13,15638889;2,543611111;
T88;Homme;Kokorou;13,95;0,94;
T89;Femme;Kokorou;13,95;0,94;
T90;Homme;Kokorou;13,95;0,94;
T91;Homme;Kokorou;13,95;0,94;
T92;Femme;Kokorou;13,95;0,94;
T93;Homme;Kokorou;13,95;0,94;
T94;Femme;Kokorou;13,95;0,94;
T95;Femme;Kokorou;13,95;0,94;
T96;Homme;Kokorou;13,95;0,94;
T98;Femme;Kokorou;13,95;0,94;
T1562;Homme;Téra;14,00776;0,75306;
T100;Homme;Kokorou;13,95;0,94;
T101;Homme;Kokorou;13,95;0,94;
T102;Homme;Kokorou;13,95;0,94;
T103;Homme;Kokorou;13,95;0,94;
T104;Homme;Kokorou;13,95;0,94;
T105;Homme;Kokorou;13,95;0,94;
T106;Homme;Kokorou;13,95;0,94;
T107;Homme;Kokorou;13,95;0,94;
T108;Homme;Kokorou;13,95;0,94;
T109;Femme;Kokorou;13,95;0,94;
T110;Homme;Kokorou;13,95;0,94;
T111;Homme;Kokorou;13,95;0,94;
T112;Homme;Téra;14,00776;0,75306;
T113;Femme;Kokorou;13,95;0,94;
T114;Homme;Kokorou;13,95;0,94;
T115;Homme;Kokorou;13,95;0,94;
T116;Femme;Kokorou;13,95;0,94;
T117;Homme;Kokorou;13,95;0,94;
T118;Homme;Kokorou;13,95;0,94;
T119;Homme;Kokorou;13,95;0,94;
T120;Homme;Kokorou;13,95;0,94;
T121;Femme;Kokorou;13,95;0,94;
T122;Homme;Kokorou;13,95;0,94;
T123;Homme;Kokorou;13,95;0,94;
T124;Homme;Kokorou;13,95;0,94;
T125;Homme;Kokorou;13,95;0,94;
T126;Homme;Kokorou;13,95;0,94;
T127;Homme;Kokorou;13,95;0,94;
T128;Homme;Kokorou;13,95;0,94;
T129;Homme;Kokorou;13,95;0,94;
T130;Femme;Kokorou;13,95;0,94;
T131;Homme;Kokorou;13,95;0,94;
T132;Homme;Kokorou;13,95;0,94;
T133;Femme;Kokorou;13,95;0,94;
T134;Femme;Kokorou;13,95;0,94;
T135;Homme;Kokorou;13,95;0,94;
T136;Homme;Kokorou;13,95;0,94;
T137;Homme;Kokorou;13,95;0,94;
T138;Femme;Kokorou;13,95;0,94;
T139;Homme;Kokorou;13,95;0,94;
T140;Homme;Kokorou;13,95;0,94;
T141;Homme;Kokorou;13,95;0,94;
T142;Homme;Kokorou;13,95;0,94;
T143;Femme;Kokorou;13,95;0,94;
T144;Homme;Kokorou;13,95;0,94;
T145;Homme;Kokorou;13,95;0,94;
T146;Homme;Kokorou;13,95;0,94;
T147;Homme;Kokorou;13,95;0,94;
T148;Homme;Kokorou;13,95;0,94;
T149;Homme;Kokorou;13,95;0,94;
T150;Homme;Kokorou;13,95;0,94;
T151;Homme;Kokorou;13,95;0,94;
T152;Homme;Kokorou;13,95;0,94;
T153;Homme;Kokorou;13,95;0,94;
T154;Homme;Kokorou;13,95;0,94;
T155;Homme;Kokorou;13,95;0,94;
T156;Homme;Kokorou;13,95;0,94;
T157;Homme;Kokorou;13,95;0,94;
T158;Homme;Kokorou;13,95;0,94;
T159;Femme;Téra;14,00776;0,75306;
T160;Homme;Téra;14,00776;0,75306;
T161;Homme;Téra;14,00776;0,75306;
T162;Homme;Téra;14,00776;0,75306;
T163;Femme;Téra;14,00776;0,75306;
T164;Homme;Téra;14,00776;0,75306;
T165;Homme;Téra;14,00776;0,75306;
T166;Homme;Téra;14,00776;0,75306;
T168;Femme;Téra;14,00776;0,75306;
T169;Homme;Téra;14,00776;0,75306;
T170;Homme;Téra;14,00776;0,75306;
T171;Homme;Kokorou;13,95;0,94;
T172;Homme;Kokorou;13,95;0,94;
T173;Homme;Kokorou;13,95;0,94;
T174;Femme;Kokorou;13,95;0,94;
T175;Homme;Kokorou;13,95;0,94;
T176;Femme;Kokorou;13,95;0,94;
T177;Femme;Kokorou;13,95;0,94;
T178;Homme;Kokorou;13,95;0,94;
T179;Homme;Téra;14,00776;0,75306;
T180;Homme;Téra;14,00776;0,75306;
T181;Homme;Téra;14,00776;0,75306;
T1502;Homme;Téra;14,00776;0,75306;
T183;Femme;Téra;14,00776;0,75306;
T184;Femme;Téra;14,00776;0,75306;
T185;Femme;Téra;14,00776;0,75306;
T186;Femme;Téra;14,00776;0,75306;
T187;Femme;Kokorou;13,95;0,94;
T188;Homme;Kokorou;13,95;0,94;
T189;Homme;Kokorou;13,95;0,94;
T190;Homme;Kokorou;13,95;0,94;
T191;Homme;Kokorou;13,95;0,94;
T192;Homme;Kokorou;13,95;0,94;
T193;Homme;Kokorou;13,95;0,94;
T194;Femme;Kokorou;13,95;0,94;
T195;Femme;Kokorou;13,95;0,94;
T196;Homme;Kokorou;13,95;0,94;
T197;Femme;Kokorou;13,95;0,94;
T198;Femme;Kokorou;13,95;0,94;
T199;Homme;Kokorou;13,95;0,94;
T200;Homme;Kokorou;13,95;0,94;
T201;Homme;Kokorou;13,95;0,94;
T203;Homme;Kokorou;13,95;0,94;
T204;Homme;Kokorou;13,95;0,94;
T205;Homme;Kokorou;13,95;0,94;
T206;Homme;Kokorou;13,95;0,94;
T207;Homme;Kokorou;13,95;0,94;
T208;Homme;Téra;14,00776;0,75306;
T209;Homme;Téra;14,00776;0,75306;
