#REF!;;#REF!;;;
Numéro d'Indentification;Genre;Village;Latitude du Village;Longitude du Village;
T649;Femme;Téra;14,00776;0,75306;
T650;Femme;Téra;14,00776;0,75306;
T651;Homme;Téra;14,00776;0,75306;
T652;Femme;Téra;14,00776;0,75306;
T653;Femme;Téra;14,00776;0,75306;
T654;Femme;Téra;14,00776;0,75306;
T655;Femme;Téra;14,00776;0,75306;
T656;Femme;Téra;14,00776;0,75306;
T657;Homme;Téra;14,00776;0,75306;
T658;Homme;Téra;14,00776;0,75306;
T659;Homme;Téra;14,00776;0,75306;
T660;Homme;Téra;14,00776;0,75306;
T661;Homme;Téra;14,00776;0,75306;
T662;Homme;Téra;14,00776;0,75306;
T663;Homme;Téra;14,00776;0,75306;
T664;Homme;Téra;14,00776;0,75306;
T666;Femme;Téra;14,00776;0,75306;
T667;Homme;Téra;14,00776;0,75306;
T668;Homme;Téra;14,00776;0,75306;
T669;Homme;Téra;14,00776;0,75306;
T670;Homme;Téra;14,00776;0,75306;
T671;Femme;Téra;14,00776;0,75306;
T672;Femme;Téra;14,00776;0,75306;
T674;Femme;Téra;14,00776;0,75306;
T675;Femme;Téra;14,00776;0,75306;
T676;Femme;Téra;14,00776;0,75306;
T677;Femme;Téra;14,00776;0,75306;
T678;Femme;Téra;14,00776;0,75306;
T679;Homme;Téra;14,00776;0,75306;
T680;Homme;Téra;14,00776;0,75306;
T681;Homme;Téra;14,00776;0,75306;
T682;Homme;Téra;14,00776;0,75306;
T683;Homme;Téra;14,00776;0,75306;
T684;Homme;Téra;14,00776;0,75306;
T685;Homme;Téra;14,00776;0,75306;
T686;Homme;Téra;14,00776;0,75306;
T687;Femme;Téra;14,00776;0,75306;
T688;Homme;Téra;14,00776;0,75306;
T689;Homme;Téra;14,00776;0,75306;
T691;Homme;Téra;14,00776;0,75306;
T692;Homme;Téra;14,00776;0,75306;
T694;Homme;Téra;14,00776;0,75306;
T695;Homme;Téra;14,00776;0,75306;
T696;Homme;Téra;14,00776;0,75306;
T697;Homme;Téra;14,00776;0,75306;
T698;Homme;Téra;14,00776;0,75306;
T699;Homme;Téra;14,00776;0,75306;
T700;Homme;Téra;14,00776;0,75306;
T701;Homme;Téra;14,00776;0,75306;
T702;Homme;Téra;14,00776;0,75306;
T703;Homme;Téra;14,00776;0,75306;
T704;Homme;Téra;14,00776;0,75306;
T705;Homme;Téra;14,00776;0,75306;
T706;Homme;Téra;14,00776;0,75306;
T707;Homme;Téra;14,00776;0,75306;
T708;Homme;Téra;14,00776;0,75306;
T709;Homme;Téra;14,00776;0,75306;
T710;Homme;Kokorou;13,95;0,94;
T711;Homme;Kokorou;13,95;0,94;
T1503;Homme;Téra;14,00776;0,75306;
T713;Femme;Kokorou;13,95;0,94;
T714;Homme;Kokorou;13,95;0,94;
T715;Femme;Kokorou;13,95;0,94;
T716;Homme;Kokorou;13,95;0,94;
T717;Homme;Kokorou;13,95;0,94;
T718;Femme;Kokorou;13,95;0,94;
T719;Homme;Kokorou;13,95;0,94;
T720;Homme;Kokorou;13,95;0,94;
T721;Homme;Kokorou;13,95;0,94;
T722;Femme;Kokorou;13,95;0,94;
T723;Femme;Kokorou;13,95;0,94;
T724;Homme;Kokorou;13,95;0,94;
T726;Homme;Kokorou;13,95;0,94;
T727;Homme;Kokorou;13,95;0,94;
T728;Homme;Kokorou;13,95;0,94;
T729;Homme;Kokorou;13,95;0,94;
T730;Homme;Kokorou;13,95;0,94;
T731;Homme;Kokorou;13,95;0,94;
T732;Homme;Kokorou;13,95;0,94;
T733;Homme;Kokorou;13,95;0,94;
T734;Femme;Kokorou;13,95;0,94;
T735;Femme;Kokorou;13,95;0,94;
T736;Femme;Kokorou;13,95;0,94;
T737;Femme;Kokorou;13,95;0,94;
T738;Femme;Kokorou;13,95;0,94;
T739;Femme;Kokorou;13,95;0,94;
T740;Homme;Kokorou;13,95;0,94;
T741;Femme;Kokorou;13,95;0,94;
T742;Femme;Kokorou;13,95;0,94;
T743;Femme;Kokorou;13,95;0,94;
T744;Femme;Kokorou;13,95;0,94;
T745;Femme;Kokorou;13,95;0,94;
T746;Femme;Kokorou;13,95;0,94;
T747;Femme;Kokorou;13,95;0,94;
T748;Femme;Kokorou;13,95;0,94;
T749;Femme;Kokorou;13,95;0,94;
T750;Femme;Kokorou;13,95;0,94;
T751;Homme;Kokorou;13,95;0,94;
T752;Homme;Kokorou;13,95;0,94;
T753;Homme;Kokorou;13,95;0,94;
T754;Homme;Téra;14,00776;0,75306;
T755;Homme;Téra;14,00776;0,75306;
T756;Homme;Téra;14,00776;0,75306;
T757;Homme;Téra;14,00776;0,75306;
T758;Homme;Téra;14,00776;0,75306;
T759;Homme;Téra;14,00776;0,75306;
T760;Homme;Téra;14,00776;0,75306;
T761;Homme;Téra;14,00776;0,75306;
T762;Homme;Téra;14,00776;0,75306;
T763;Femme;Téra;14,00776;0,75306;
T2537;Homme;DOUTCHI;13,884;4,414;
T766;Homme;Téra;14,00776;0,75306;
T767;Homme;Kokorou;13,95;0,94;
T768;Homme;Kokorou;13,95;0,94;
T769;Homme;Kokorou;13,95;0,94;
T770;Homme;Kokorou;13,95;0,94;
T771;Homme;Kokorou;13,95;0,94;
T772;Homme;Kokorou;13,95;0,94;
T773;Homme;Kokorou;13,95;0,94;
T775;Femme;Kokorou;13,95;0,94;
T776;Homme;Kokorou;13,95;0,94;
T777;Homme;Kokorou;13,95;0,94;
T778;Homme;Kokorou;13,95;0,94;
T779;Homme;Kokorou;13,95;0,94;
T780;Homme;Kokorou;13,95;0,94;
T781;Homme;Kokorou;13,95;0,94;
T782;Homme;Kokorou;13,95;0,94;
T783;Homme;Kokorou;13,95;0,94;
T784;Homme;Kokorou;13,95;0,94;
T785;Homme;Kokorou;13,95;0,94;
T786;Homme;Kokorou;13,95;0,94;
T787;Homme;Kokorou;13,95;0,94;
T2284;Homme;Dalwey;13,156;2,32;
T789;Homme;Téra;14,00776;0,75306;
T790;Homme;Téra;14,00776;0,75306;
T791;Homme;Téra;14,00776;0,75306;
T792;Homme;Téra;14,00776;0,75306;
T793;Homme;Téra;14,00776;0,75306;
T794;Homme;Téra;14,00776;0,75306;
T795;Femme;Téra;14,00776;0,75306;
T796;Femme;Téra;14,00776;0,75306;
T797;Homme;Téra;14,00776;0,75306;
T798;Homme;Téra;14,00776;0,75306;
T799;Homme;Téra;14,00776;0,75306;
T800;Homme;Téra;14,00776;0,75306;
T801;Homme;Téra;14,00776;0,75306;
T802;Homme;Téra;14,00776;0,75306;
T804;Homme;Téra;14,00776;0,75306;
T805;Homme;Téra;14,00776;0,75306;
T806;Homme;Téra;14,00776;0,75306;
T807;Homme;Téra;14,00776;0,75306;
T808;Homme;Téra;14,00776;0,75306;
T1542;Homme;Téra;14,00776;0,75306;
T810;Femme;Téra;14,00776;0,75306;
T811;Homme;Téra;14,00776;0,75306;
T812;Homme;Téra;14,00776;0,75306;
T813;Homme;Téra;14,00776;0,75306;
T814;Homme;Téra;14,00776;0,75306;
T815;Homme;Téra;14,00776;0,75306;
T816;Homme;Téra;14,00776;0,75306;
T817;Homme;Téra;14,00776;0,75306;
T818;Homme;Téra;14,00776;0,75306;
T819;Homme;Téra;14,00776;0,75306;
T820;Homme;Téra;14,00776;0,75306;
T821;Homme;Téra;14,00776;0,75306;
T822;Homme;Téra;14,00776;0,75306;
T823;Homme;Téra;14,00776;0,75306;
T824;Homme;Téra;14,00776;0,75306;
T825;Homme;Kokorou;13,95;0,94;
T826;Homme;Kokorou;13,95;0,94;
T827;Homme;Kokorou;13,95;0,94;
T828;Homme;Kokorou;13,95;0,94;
T829;Femme;Kokorou;13,95;0,94;
T830;Homme;Kokorou;13,95;0,94;
T831;Homme;Kokorou;13,95;0,94;
T832;Femme;Kokorou;13,95;0,94;
T833;Homme;Kokorou;13,95;0,94;
T834;Homme;Kokorou;13,95;0,94;
T835;Homme;Kokorou;13,95;0,94;
T836;Homme;Kokorou;13,95;0,94;
T837;Homme;Kokorou;13,95;0,94;
T838;Homme;Kokorou;13,95;0,94;
T839;Homme;Kokorou;13,95;0,94;
T840;Homme;Téra;14,00776;0,75306;
T841;Femme;Kokorou;13,95;0,94;
T842;Homme;Kokorou;13,95;0,94;
T843;Homme;Kokorou;13,95;0,94;
T844;Homme;Kokorou;13,95;0,94;
T845;Homme;Kokorou;13,95;0,94;
T846;Homme;Kokorou;13,95;0,94;
T847;Homme;Kokorou;13,95;0,94;
T848;Femme;Téra;14,00776;0,75306;
T849;Femme;Téra;14,00776;0,75306;
T850;Femme;Téra;14,00776;0,75306;
T851;Femme;Téra;14,00776;0,75306;
T852;Homme;Téra;14,00776;0,75306;
T853;Femme;Téra;14,00776;0,75306;
T855;Homme;Téra;14,00776;0,75306;
T856;Femme;Téra;14,00776;0,75306;
T857;Femme;Téra;14,00776;0,75306;
T858;Femme;Téra;14,00776;0,75306;
T859;Homme;Téra;14,00776;0,75306;
T2562;Homme;DOUTCHI;13,884;4,414;
T861;Homme;Téra;14,00776;0,75306;
T862;Homme;Téra;14,00776;0,75306;
T863;Homme;Téra;14,00776;0,75306;
T864;Homme;Téra;14,00776;0,75306;
T865;Femme;Téra;14,00776;0,75306;
T866;Homme;Téra;14,00776;0,75306;
T867;Homme;Kokorou;13,95;0,94;
T868;Homme;Kokorou;13,95;0,94;
T869;Homme;Kokorou;13,95;0,94;
T870;Homme;Kokorou;13,95;0,94;
T871;Homme;Kokorou;13,95;0,94;
T872;Homme;Kokorou;13,95;0,94;
T873;Homme;Kokorou;13,95;0,94;
T874;Homme;Kokorou;13,95;0,94;
T875;Homme;Kokorou;13,95;0,94;
T876;Homme;Kokorou;13,95;0,94;
T877;Homme;Kokorou;13,95;0,94;
T878;Femme;Kokorou;13,95;0,94;
T879;Homme;Téra;14,00776;0,75306;
T880;Homme;Téra;14,00776;0,75306;
T881;Homme;Téra;14,00776;0,75306;
T882;Homme;Téra;14,00776;0,75306;
T883;Homme;Téra;14,00776;0,75306;
T884;Homme;Téra;14,00776;0,75306;
T886;Homme;Téra;14,00776;0,75306;
T887;Homme;Téra;14,00776;0,75306;
T888;Homme;Téra;14,00776;0,75306;
T889;Homme;Téra;14,00776;0,75306;
T890;Homme;Téra;14,00776;0,75306;
T891;Homme;Téra;14,00776;0,75306;
T892;Femme;Téra;14,00776;0,75306;
T893;Homme;Kokorou;13,95;0,94;
T894;Homme;Kokorou;13,95;0,94;
T895;Homme;Kokorou;13,95;0,94;
T896;Homme;Kokorou;13,95;0,94;
T897;Homme;Kokorou;13,95;0,94;
T898;Homme;Kokorou;13,95;0,94;
T899;Femme;Kokorou;13,95;0,94;
T900;Femme;Kokorou;13,95;0,94;
T901;Homme;Téra;14,00776;0,75306;
T902;Homme;Téra;14,00776;0,75306;
T903;Homme;Téra;14,00776;0,75306;
T904;Homme;Téra;14,00776;0,75306;
T905;Homme;Téra;14,00776;0,75306;
T906;Homme;Téra;14,00776;0,75306;
T907;Homme;Téra;14,00776;0,75306;
T908;Homme;Téra;14,00776;0,75306;
T909;Homme;Téra;14,00776;0,75306;
T910;Homme;Téra;14,00776;0,75306;
T911;Homme;Téra;14,00776;0,75306;
T912;Homme;Téra;14,00776;0,75306;
T2481;Homme;TCHOURAFONDA;13,35777778;2,494444444;
T914;Femme;Téra;14,00776;0,75306;
T915;Homme;Téra;14,00776;0,75306;
T916;Homme;Téra;14,00776;0,75306;
T917;Homme;Téra;14,00776;0,75306;
T918;Homme;Téra;14,00776;0,75306;
T919;Femme;Téra;14,00776;0,75306;
T920;Homme;Téra;14,00776;0,75306;
T921;Homme;Téra;14,00776;0,75306;
T922;Homme;Téra;14,00776;0,75306;
T923;Homme;Téra;14,00776;0,75306;
T924;Homme;Téra;14,00776;0,75306;
T925;Homme;Téra;14,00776;0,75306;
T926;Femme;Téra;14,00776;0,75306;
T927;Homme;Téra;14,00776;0,75306;
T928;Homme;Téra;14,00776;0,75306;
T929;Homme;Téra;14,00776;0,75306;
T930;Homme;Téra;14,00776;0,75306;
T931;Homme;Téra;14,00776;0,75306;
T932;Homme;Téra;14,00776;0,75306;
T933;Homme;Téra;14,00776;0,75306;
T934;Femme;Téra;14,00776;0,75306;
T935;Femme;Téra;14,00776;0,75306;
T936;Femme;Téra;14,00776;0,75306;
T937;Homme;Téra;14,00776;0,75306;
T938;Homme;Téra;14,00776;0,75306;
T939;Homme;Kokorou;13,95;0,94;
T940;Homme;Kokorou;13,95;0,94;
T941;Homme;Kokorou;13,95;0,94;
T942;Femme;Kokorou;13,95;0,94;
T943;Homme;Kokorou;13,95;0,94;
T944;Homme;Kokorou;13,95;0,94;
T945;Homme;Kokorou;13,95;0,94;
T946;Homme;Kokorou;13,95;0,94;
T947;Homme;Kokorou;13,95;0,94;
T948;Homme;Kokorou;13,95;0,94;
T949;Femme;Kokorou;13,95;0,94;
T950;Homme;Kokorou;13,95;0,94;
T951;Homme;Kokorou;13,95;0,94;
T952;Homme;Kokorou;13,95;0,94;
T953;Homme;Kokorou;13,95;0,94;
T954;Femme;Kokorou;13,95;0,94;
T955;Homme;Kokorou;13,95;0,94;
T956;Homme;Kokorou;13,95;0,94;
T957;Homme;Kokorou;13,95;0,94;
T958;Femme;Kokorou;13,95;0,94;
T959;Femme;Kokorou;13,95;0,94;
T960;Homme;Kokorou;13,95;0,94;
T961;Homme;Kokorou;13,95;0,94;
T962;Femme;Kokorou;13,95;0,94;
T963;Homme;Kokorou;13,95;0,94;
T964;Homme;Kokorou;13,95;0,94;
T965;Homme;Kokorou;13,95;0,94;
T966;Homme;Kokorou;13,95;0,94;
T967;Homme;Kokorou;13,95;0,94;
T968;Homme;Kokorou;13,95;0,94;
T969;Homme;Kokorou;13,95;0,94;
T970;Homme;Kokorou;13,95;0,94;
T971;Homme;Kokorou;13,95;0,94;
T972;Homme;Kokorou;13,95;0,94;
T973;Homme;Kokorou;13,95;0,94;
T974;Homme;Kokorou;13,95;0,94;
T975;Homme;Kokorou;13,95;0,94;
T976;Homme;Kokorou;13,95;0,94;
T977;Homme;Kokorou;13,95;0,94;
T978;Homme;Kokorou;13,95;0,94;
T979;Homme;Kokorou;13,95;0,94;
T980;Homme;Kokorou;13,95;0,94;
T981;Femme;Kokorou;13,95;0,94;
T982;Homme;Kokorou;13,95;0,94;
T983;Homme;Kokorou;13,95;0,94;
T984;Homme;Kokorou;13,95;0,94;
T985;Homme;Kokorou;13,95;0,94;
T986;Femme;Kokorou;13,95;0,94;
T987;Homme;Kokorou;13,95;0,94;
T988;Homme;Kokorou;13,95;0,94;
T989;Homme;Kokorou;13,95;0,94;
T990;Femme;Kokorou;13,95;0,94;
T991;Homme;Kokorou;13,95;0,94;
T992;Homme;Kokorou;13,95;0,94;
T993;Femme;Kokorou;13,95;0,94;
T994;Femme;Kokorou;13,95;0,94;
T996;Femme;Kokorou;13,95;0,94;
T997;Femme;Kokorou;13,95;0,94;
T998;Femme;Kokorou;13,95;0,94;
T999;Homme;Kokorou;13,95;0,94;
T1000;Homme;Kokorou;13,95;0,94;
T2138;Homme;FINARE ;13,41583333;2,3725;
T1002;Homme;Kokorou;13,95;0,94;
T1003;Homme;Kokorou;13,95;0,94;
T1005;Homme;Kokorou;13,95;0,94;
T1006;Homme;Kokorou;13,95;0,94;
T1007;Homme;Kokorou;13,95;0,94;
T1008;Homme;Kokorou;13,95;0,94;
T1009;Homme;Kokorou;13,95;0,94;
T1010;Homme;Kokorou;13,95;0,94;
T1011;Homme;Kokorou;13,95;0,94;
T1012;Homme;Kokorou;13,95;0,94;
T1013;Femme;Kokorou;13,95;0,94;
T1014;Homme;Kokorou;13,95;0,94;
T1015;Femme;Kokorou;13,95;0,94;
T1016;Homme;Kokorou;13,95;0,94;
T1017;Femme;Kokorou;13,95;0,94;
T2530;Homme;DOUTCHI;13,884;4,414;
T1020;Homme;Kokorou;13,95;0,94;
T1021;Homme;Kokorou;13,95;0,94;
T1022;Homme;Kokorou;13,95;0,94;
T1023;Homme;Kokorou;13,95;0,94;
T1024;Homme;Kokorou;13,95;0,94;
T1025;Femme;Kokorou;13,95;0,94;
T1026;Homme;Kokorou;13,95;0,94;
T1027;Femme;Kokorou;13,95;0,94;
T1028;Homme;Kokorou;13,95;0,94;
T1029;Femme;Kokorou;13,95;0,94;
T1030;Femme;Kokorou;13,95;0,94;
T1031;Homme;Kokorou;13,95;0,94;
T1032;Homme;Téra;14,00776;0,75306;
T1033;Homme;Kokorou;13,95;0,94;
T1034;Homme;Kokorou;13,95;0,94;
T1035;Homme;Kokorou;13,95;0,94;
T1036;Homme;Kokorou;13,95;0,94;
T1037;Homme;Kokorou;13,95;0,94;
T1038;Homme;Kokorou;13,95;0,94;
T1039;Homme;Kokorou;13,95;0,94;
T1040;Homme;Kokorou;13,95;0,94;
T1041;Femme;Kokorou;13,95;0,94;
T1042;Homme;Kokorou;13,95;0,94;
T1043;Homme;Kokorou;13,95;0,94;
T1044;Homme;Kokorou;13,95;0,94;
T1045;Homme;Kokorou;13,95;0,94;
T1046;Femme;Kokorou;13,95;0,94;
T1047;Homme;Kokorou;13,95;0,94;
T1048;Homme;Kokorou;13,95;0,94;
T1049;Homme;Kokorou;13,95;0,94;
T1050;Homme;Kokorou;13,95;0,94;
T1051;Homme;Kokorou;13,95;0,94;
T1052;Homme;Kokorou;13,95;0,94;
T1053;Femme;Kokorou;13,95;0,94;
T1054;Homme;Kokorou;13,95;0,94;
T1055;Homme;Kokorou;13,95;0,94;
T1056;Homme;Kokorou;13,95;0,94;
T1057;Homme;Kokorou;13,95;0,94;
T1058;Homme;Kokorou;13,95;0,94;
T1059;Homme;Kokorou;13,95;0,94;
T1060;Femme;Kokorou;13,95;0,94;
T1061;Homme;Kokorou;13,95;0,94;
T1062;Homme;Kokorou;13,95;0,94;
T1063;Homme;Kokorou;13,95;0,94;
T1064;Femme;Kokorou;13,95;0,94;
T1065;Femme;Kokorou;13,95;0,94;
T1066;Homme;Kokorou;13,95;0,94;
T1067;Homme;Kokorou;13,95;0,94;
T1068;Homme;Kokorou;13,95;0,94;
T1069;Femme;Kokorou;13,95;0,94;
T1070;Homme;Kokorou;13,95;0,94;
T1071;Femme;Kokorou;13,95;0,94;
T1072;Femme;Kokorou;13,95;0,94;
T1073;Homme;Kokorou;13,95;0,94;
T1074;Femme;Kokorou;13,95;0,94;
T1075;Homme;Kokorou;13,95;0,94;
T1076;Homme;Kokorou;13,95;0,94;
T1077;Homme;Kokorou;13,95;0,94;
T1078;Homme;Kokorou;13,95;0,94;
T1079;Femme;Kokorou;13,95;0,94;
T1080;Femme;Kokorou;13,95;0,94;
T1081;Homme;Kokorou;13,95;0,94;
T1082;Homme;Kokorou;13,95;0,94;
T1083;Homme;Kokorou;13,95;0,94;
T1084;Homme;Kokorou;13,95;0,94;
T1085;Homme;Kokorou;13,95;0,94;
T1086;Homme;Kokorou;13,95;0,94;
T1087;Homme;Kokorou;13,95;0,94;
T1088;Homme;Kokorou;13,95;0,94;
T1089;Homme;Kokorou;13,95;0,94;
T1090;Homme;Kokorou;13,95;0,94;
T1091;Homme;Kokorou;13,95;0,94;
T1092;Homme;Kokorou;13,95;0,94;
T1093;Homme;Kokorou;13,95;0,94;
T1094;Homme;Kokorou;13,95;0,94;
T1095;Homme;Kokorou;13,95;0,94;
T1096;Homme;Kokorou;13,95;0,94;
T1097;Homme;Kokorou;13,95;0,94;
T1098;Homme;Kokorou;13,95;0,94;
T1099;Femme;Kokorou;13,95;0,94;
T1100;Homme;Kokorou;13,95;0,94;
T1101;Femme;Kokorou;13,95;0,94;
T1102;Femme;Kokorou;13,95;0,94;
T1103;Homme;Kokorou;13,95;0,94;
T1104;Homme;Kokorou;13,95;0,94;
T1105;Homme;Kokorou;13,95;0,94;
T1106;Homme;Kokorou;13,95;0,94;
T1107;Homme;Kokorou;13,95;0,94;
T1108;Homme;Kokorou;13,95;0,94;
T1109;Homme;Kokorou;13,95;0,94;
T1110;Homme;Kokorou;13,95;0,94;
T1111;Homme;Kokorou;13,95;0,94;
T1112;Homme;Kokorou;13,95;0,94;
T1113;Homme;Kokorou;13,95;0,94;
T1114;Homme;Kokorou;13,95;0,94;
T1115;Homme;Kokorou;13,95;0,94;
T1116;Homme;Kokorou;13,95;0,94;
T1118;Homme;Kokorou;13,95;0,94;
T1119;Homme;Kokorou;13,95;0,94;
T1120;Homme;Kokorou;13,95;0,94;
T1121;Homme;Kokorou;13,95;0,94;
T1122;Homme;Kokorou;13,95;0,94;
T1123;Homme;Kokorou;13,95;0,94;
T1124;Femme;Kokorou;13,95;0,94;
T1125;Homme;Kokorou;13,95;0,94;
T1126;Femme;Kokorou;13,95;0,94;
T1127;Homme;Kokorou;13,95;0,94;
T1128;Femme;Kokorou;13,95;0,94;
T1129;Homme;Kokorou;13,95;0,94;
T1130;Femme;Kokorou;13,95;0,94;
T1131;Homme;Kokorou;13,95;0,94;
T1132;Homme;Kokorou;13,95;0,94;
T1133;Homme;Kokorou;13,95;0,94;
T1134;Homme;Kokorou;13,95;0,94;
T1135;Homme;Kokorou;13,95;0,94;
T1136;Homme;Kokorou;13,95;0,94;
T1138;Homme;Kokorou;13,95;0,94;
T1139;Femme;Kokorou;13,95;0,94;
T1140;Homme;Kokorou;13,95;0,94;
T1141;Homme;Kokorou;13,95;0,94;
T1142;Homme;Kokorou;13,95;0,94;
T1143;Femme;Téra;14,00776;0,75306;
T2680;Homme;TOGONE;13,71388889;4,104722222;
T1145;Homme;Téra;14,00776;0,75306;
T1147;Femme;Téra;14,00776;0,75306;
T1148;Homme;Téra;14,00776;0,75306;
T1149;Femme;Téra;14,00776;0,75306;
T1150;Femme;Téra;14,00776;0,75306;
T1151;Femme;Téra;14,00776;0,75306;
T1152;Homme;Téra;14,00776;0,75306;
T1153;Femme;Téra;14,00776;0,75306;
T1154;Femme;Téra;14,00776;0,75306;
T1155;Femme;Téra;14,00776;0,75306;
T1156;Homme;Téra;14,00776;0,75306;
T1157;Femme;Téra;14,00776;0,75306;
T1158;Homme;Téra;14,00776;0,75306;
T1159;Homme;Téra;14,00776;0,75306;
T1160;Homme;Téra;14,00776;0,75306;
T1161;Homme;Téra;14,00776;0,75306;
T1162;Femme;Téra;14,00776;0,75306;
T1163;Femme;Téra;14,00776;0,75306;
T1164;Homme;Téra;14,00776;0,75306;
T1166;Homme;Téra;14,00776;0,75306;
T1167;Femme;Téra;14,00776;0,75306;
T1168;Homme;Téra;14,00776;0,75306;
T1169;Homme;Téra;14,00776;0,75306;
T1170;Femme;Téra;14,00776;0,75306;
T2001;Homme;DANGARIA ;14,0775;1,914444444;
T1172;Homme;Téra;14,00776;0,75306;
T1173;Homme;Téra;14,00776;0,75306;
T1174;Homme;Téra;14,00776;0,75306;
T1175;Homme;Téra;14,00776;0,75306;
T1176;Homme;Téra;14,00776;0,75306;
T1177;Homme;Téra;14,00776;0,75306;
T1178;Homme;Téra;14,00776;0,75306;
T1179;Homme;Téra;14,00776;0,75306;
T1180;Homme;Téra;14,00776;0,75306;
T1181;Homme;Téra;14,00776;0,75306;
T1182;Homme;Téra;14,00776;0,75306;
T1184;Homme;Téra;14,00776;0,75306;
T1185;Homme;Téra;14,00776;0,75306;
T1186;Femme;Téra;14,00776;0,75306;
T1187;Femme;Téra;14,00776;0,75306;
T1188;Homme;Téra;14,00776;0,75306;
T1189;Femme;Téra;14,00776;0,75306;
T1190;Homme;Téra;14,00776;0,75306;
T1191;Homme;Téra;14,00776;0,75306;
T1192;Homme;Téra;14,00776;0,75306;
T1193;Homme;Téra;14,00776;0,75306;
T1194;Femme;Téra;14,00776;0,75306;
T1195;Homme;Téra;14,00776;0,75306;
T1196;Homme;Téra;14,00776;0,75306;
T1197;Femme;Téra;14,00776;0,75306;
T1198;Homme;Téra;14,00776;0,75306;
T1199;Femme;Téra;14,00776;0,75306;
T1200;Homme;Téra;14,00776;0,75306;
T1201;Femme;Téra;14,00776;0,75306;
T1202;Femme;Téra;14,00776;0,75306;
T1203;Homme;Téra;14,00776;0,75306;
T1146;Femme;Téra;14,00776;0,75306;
T1205;Homme;Téra;14,00776;0,75306;
T1206;Homme;Téra;14,00776;0,75306;
T1207;Homme;Téra;14,00776;0,75306;
T1209;Femme;Téra;14,00776;0,75306;
T1210;Femme;Téra;14,00776;0,75306;
T1211;Homme;Téra;14,00776;0,75306;
T1212;Homme;Téra;14,00776;0,75306;
T1213;Homme;Téra;14,00776;0,75306;
T1214;Homme;Téra;14,00776;0,75306;
T1215;Homme;Téra;14,00776;0,75306;
T1216;Homme;Téra;14,00776;0,75306;
T1217;Femme;Téra;14,00776;0,75306;
T1218;Femme;Téra;14,00776;0,75306;
T1426;Homme;Téra;14,00776;0,75306;
T1220;Homme;Téra;14,00776;0,75306;
T1221;Homme;Téra;14,00776;0,75306;
T1222;Femme;Téra;14,00776;0,75306;
T1223;Homme;Téra;14,00776;0,75306;
T1224;Femme;Téra;14,00776;0,75306;
T1225;Homme;Téra;14,00776;0,75306;
T1226;Homme;Téra;14,00776;0,75306;
T1227;Homme;Téra;14,00776;0,75306;
T1228;Homme;Téra;14,00776;0,75306;
T1229;Femme;Téra;14,00776;0,75306;
T1230;Homme;Téra;14,00776;0,75306;
T1231;Homme;Téra;14,00776;0,75306;
T1232;Homme;Téra;14,00776;0,75306;
T1233;Homme;Téra;14,00776;0,75306;
T1234;Homme;Téra;14,00776;0,75306;
T1235;Femme;Téra;14,00776;0,75306;
T1236;Femme;Téra;14,00776;0,75306;
T1237;Homme;Téra;14,00776;0,75306;
T1238;Femme;Téra;14,00776;0,75306;
T1239;Homme;Téra;14,00776;0,75306;
T1240;Femme;Téra;14,00776;0,75306;
T1241;Homme;Téra;14,00776;0,75306;
T1242;Homme;Téra;14,00776;0,75306;
T1243;Homme;Téra;14,00776;0,75306;
T1244;Homme;Téra;14,00776;0,75306;
T1245;Homme;Téra;14,00776;0,75306;
T1246;Femme;Téra;14,00776;0,75306;
T1247;Homme;Téra;14,00776;0,75306;
T1248;Homme;Téra;14,00776;0,75306;
T1249;Homme;Téra;14,00776;0,75306;
T1250;Femme;Téra;14,00776;0,75306;
T1251;Femme;Téra;14,00776;0,75306;
T1252;Homme;Téra;14,00776;0,75306;
T1253;Femme;Téra;14,00776;0,75306;
T1254;Homme;Téra;14,00776;0,75306;
T1255;Homme;Téra;14,00776;0,75306;
T1257;Homme;Téra;14,00776;0,75306;
T1258;Femme;Téra;14,00776;0,75306;
T1259;Femme;Téra;14,00776;0,75306;
T1260;Homme;Téra;14,00776;0,75306;
T1261;Homme;Téra;14,00776;0,75306;
T1262;Homme;Téra;14,00776;0,75306;
T1263;Homme;Téra;14,00776;0,75306;
T1264;Homme;Téra;14,00776;0,75306;
T1265;Femme;Téra;14,00776;0,75306;
T1266;Homme;Téra;14,00776;0,75306;
T1267;Homme;Téra;14,00776;0,75306;
T1268;Homme;Téra;14,00776;0,75306;
T1269;Homme;Téra;14,00776;0,75306;
T1270;Homme;Téra;14,00776;0,75306;
T1271;Femme;Téra;14,00776;0,75306;
T1272;Homme;Kokorou;13,95;0,94;
T1273;Homme;Kokorou;13,95;0,94;
T1274;Homme;Kokorou;13,95;0,94;
T1275;Homme;Kokorou;13,95;0,94;
T1276;Homme;Kokorou;13,95;0,94;
T1277;Homme;Kokorou;13,95;0,94;
T1278;Homme;Kokorou;13,95;0,94;
T1279;Femme;Kokorou;13,95;0,94;
T1280;Homme;Kokorou;13,95;0,94;
T1281;Homme;Kokorou;13,95;0,94;
T1282;Homme;Kokorou;13,95;0,94;
T1283;Homme;Kokorou;13,95;0,94;
T1284;Homme;Kokorou;13,95;0,94;
T1285;Homme;Kokorou;13,95;0,94;
T1286;Homme;Kokorou;13,95;0,94;
T1287;Homme;Kokorou;13,95;0,94;
